case,oracle,estimated_total_qubits,num_qubits,W,K,P_uniform,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r_opt,r_star,P_valid,circuit_depth,qiskit_statevector_used,qiskit_circuit_built
01_1d_tiny_single_gap,cost_phase,11,,5,1,0.2,0.28049934407051724,0.16829960644231035,0.08928571428571429,0.05357142857142857,29,29,0.7634230555583972,,False,False
02_1d_main_reference,cost_phase,13,,7,2,0.2857142857142857,0.30854927847756897,0.3646491472916724,0.09821428571428571,0.11607142857142858,32,32,0.9270110303615731,,False,False
03_1d_two_free_regions,cost_phase,16,,8,3,0.375,0.08414980322115517,0.19634954084936207,0.026785714285714284,0.0625,35,35,0.9643728856112839,,False,False
04_1d_clustered_medium,cost_phase,23,,14,4,0.2857142857142857,0.3365992128846207,0.3365992128846207,0.10714285714285714,0.10714285714285714,47,47,0.865485362683791,,False,False
05_1d_long_clustered_blocks,cost_phase,41,,29,11,0.3793103448275862,0.05609986881410345,0.12622470483173276,0.017857142857142856,0.04017857142857143,23,23,0.9228915450637039,,False,False
06_2d_tiny_corner_block,cost_phase,15,,4,1,0.25,0.8414980322115517,0.3365992128846207,0.26785714285714285,0.10714285714285714,21,21,0.958200471643366,,False,False
07_2d_small_diagonal_block,cost_phase,24,,9,1,0.1111111111111111,0.39269908169872414,0.16829960644231035,0.125,0.05357142857142857,48,48,0.7915126357485505,,False,False
08_2d_medium_clustered_obstacles,cost_phase,33,,16,9,0.5625,0.5890486225480862,0.40672404890225,0.1875,0.12946428571428573,22,22,0.9831014871305613,,False,False
09_2d_rectangular_window,cost_phase,47,,20,8,0.4,0.8695479666186035,0.7853981633974483,0.2767857142857143,0.25,42,42,0.933228597037052,,False,False
10_3d_small_clustered_obstacles,cost_phase,61,,18,12,0.6666666666666666,0.14024967203525862,0.08414980322115517,0.044642857142857144,0.026785714285714284,7,7,0.9711268821608928,,False,False
