case,W_V4,K_V4,P_uniform_V4,P_valid_V4,P_valid_V5,delta_P_V5_minus_V4,P_winner,r_opt_V4,r_opt_V5,delta_r_V5_minus_V4,fewer_repetitions,theta_over_pi_V4,theta_over_pi_V5,beta_over_pi_V4,beta_over_pi_V5,P_valid_per_repetition_V4,P_valid_per_repetition_V5,efficiency_winner,estimated_total_qubits_V4,estimated_total_qubits_V5,delta_qubits_V5_minus_V4,pareto_probability_repetitions
01_1d_tiny_single_gap,5,1,0.2,0.7634230555583972,0.8913190212648294,0.12789596570643225,V5,29,39,10,V4,0.0892857142857142,0.6785714285714286,0.0535714285714285,0.4598214285714286,0.0263249329502895,0.0228543338785853,V4,11,18,7,tradeoff/tie
02_1d_main_reference,7,2,0.2857142857142857,0.9270110303615732,0.8689416848540423,-0.058069345507530845,V4,32,36,4,V4,0.0982142857142857,0.2142857142857142,0.1160714285714285,0.4687499999999999,0.0289690946987991,0.0241372690237233,V4,13,20,7,V4 dominates
03_1d_two_free_regions,8,3,0.375,0.964372885611284,0.9426951841520048,-0.021677701459279164,V4,35,47,12,V4,0.0267857142857142,0.1517857142857142,0.0625,0.3437499999999999,0.0275535110174652,0.0200573443436596,V4,16,24,8,V4 dominates
04_1d_clustered_medium,14,4,0.2857142857142857,0.865485362683791,0.743346917180962,-0.12213844550282893,V4,47,47,0,tie,0.1071428571428571,0.2232142857142857,0.1071428571428571,0.4196428571428571,0.0184145821847615,0.015815891854914,V4,23,31,8,V4 dominates
05_1d_long_clustered_blocks,29,11,0.3793103448275862,0.922891545063704,0.8036031913343722,-0.11928835372933178,V4,23,31,8,V4,0.0178571428571428,0.2946428571428571,0.0401785714285714,0.4107142857142857,0.0401257193505958,0.0259226835914313,V4,41,52,11,V4 dominates
06_2d_tiny_corner_block,4,1,0.25,0.958200471643366,0.9896395854335164,0.03143911379015041,V5,21,12,-9,V5,0.2678571428571428,0.7678571428571429,0.1071428571428571,0.3169642857142857,0.0456285938877793,0.082469965452793,V5,15,26,11,V5 dominates
07_2d_small_diagonal_block,9,1,0.1111111111111111,0.7915126357485505,0.8141056384308368,0.022593002682286367,V5,48,40,-8,V5,0.125,0.7857142857142857,0.0535714285714285,0.2544642857142857,0.0164898465780948,0.0203526409607709,V5,24,35,11,V5 dominates
08_2d_medium_clustered_obstacles,16,9,0.5625,0.9831014871305612,0.9127480978119744,-0.07035338931858681,V4,22,36,14,V4,0.1875,0.9642857142857144,0.1294642857142857,0.2410714285714285,0.0446864312332073,0.0253541138281104,V4,33,44,11,V4 dominates
09_2d_rectangular_window,20,8,0.4,0.933228597037052,0.793544999356219,-0.13968359768083294,V4,42,25,-17,V5,0.2767857142857143,0.0089285714285714,0.25,0.1383928571428571,0.0222197285008821,0.0317417999742487,V5,47,60,13,tradeoff/tie
10_3d_small_clustered_obstacles,18,12,0.6666666666666666,0.9711268821608928,0.9535414467752884,-0.01758543538560442,V4,7,7,0,tie,0.0446428571428571,0.9642857142857144,0.0267857142857142,0.1785714285714285,0.1387324117372704,0.136220206682184,V4,61,78,17,V4 dominates
