version,case,oracle,W,K,P_uniform,mixer_method,theta_default_over_pi,beta_default_over_pi,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r_opt,r_star,P_valid,P_max_reduced_search,hardware_score,improvement_over_uniform,relative_improvement_over_uniform,P_valid_per_repetition,optimizer_seconds,signal_min,signal_max,signal_nonzero_count,N_tot,M_tot,IDX,m_registers,n_anc_bits,n_anc,estimated_total_qubits
V5,01_1d_tiny_single_gap,ΔC(i) delta cost phase,5,1,0.2,local_geometric,0.5,0.0954929658551372,2.131795014935931,1.444571621963164,0.6785714285714286,0.4598214285714286,39,39,0.8913190212648294,0.8980090743001015,0.8133190212648295,0.6913190212648295,3.4565951063241473,0.02285433387858537,0.6817500591278076,-1.0,1.0,5,6,2,3,2,2,5,18
V5,02_1d_main_reference,ΔC(i) delta cost phase,7,2,0.2857142857142857,local_geometric,0.3333333333333333,0.1909859317102744,0.6731984257692414,1.4726215563702154,0.21428571428571427,0.46874999999999994,36,36,0.8689416848540423,0.8694454851640386,0.7969416848540423,0.5832273991397566,2.041295896989148,0.024137269023723398,0.7798221111297607,-2.0,1.0,5,8,2,3,2,2,5,20
V5,03_1d_two_free_regions,ΔC(i) delta cost phase,8,3,0.375,local_geometric,0.3333333333333333,0.0954929658551372,0.4768488849198793,1.0799224746714913,0.15178571428571427,0.34374999999999994,47,47,0.9426951841520047,0.9426951841520047,0.8486951841520047,0.5676951841520047,1.5138538244053459,0.020057344343659675,0.7359158992767334,-3.0,1.0,6,10,3,3,2,2,5,24
V5,04_1d_clustered_medium,ΔC(i) delta cost phase,14,4,0.2857142857142857,local_geometric,0.3333333333333333,0.07639437268410976,0.7012483601762931,1.318346917131431,0.22321428571428573,0.41964285714285715,47,47,0.743346917180962,0.743346917180962,0.649346917180962,0.4576326314666763,1.6017142101333672,0.015815891854914086,0.8504939079284668,-2.0,1.0,11,16,3,4,2,2,5,31
V5,05_1d_long_clustered_blocks,ΔC(i) delta cost phase,29,11,0.3793103448275862,local_geometric,0.25,0.05729577951308232,0.9256478354327069,1.2902969827243793,0.29464285714285715,0.4107142857142857,31,31,0.8036031913343722,0.8074151494825108,0.7416031913343721,0.424292846506786,1.1185902316997085,0.02592268359143136,1.5812568664550781,-4.0,1.0,18,32,4,5,2,3,7,52
V5,06_2d_tiny_corner_block,ΔC(i) delta cost phase,4,1,0.25,local_geometric,0.5,0.0891267681314614,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,12,12,0.9896395854335164,0.9896395854335164,0.9656395854335164,0.7396395854335164,2.9585583417340655,0.08246996545279303,0.6880266666412354,-1.0,1.0,3,9,4,2,2,3,7,26
V5,07_2d_small_diagonal_block,ΔC(i) delta cost phase,9,1,0.1111111111111111,local_geometric,0.5,0.07639437268410976,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,40,40,0.8141056384308368,0.8141056384308368,0.7341056384308369,0.7029945273197258,6.326950745877532,0.02035264096077092,0.8387031555175781,-1.0,1.0,5,16,4,4,2,3,7,35
V5,08_2d_medium_clustered_obstacles,ΔC(i) delta cost phase,16,9,0.5625,local_geometric,0.3333333333333333,0.07002817496043395,3.029392915961586,0.7573482289903966,0.9642857142857143,0.24107142857142858,36,36,0.9127480978119745,0.9145530343523464,0.8407480978119746,0.3502480978119745,0.6226632849990659,0.025354113828110404,1.0850329399108887,-3.0,2.0,10,25,4,4,2,3,7,44
V5,09_2d_rectangular_window,ΔC(i) delta cost phase,20,8,0.4,local_geometric,0.3333333333333333,0.05729577951308232,0.028049934407051724,0.4347739833093017,0.008928571428571428,0.13839285714285715,25,25,0.793544999356219,0.793544999356219,0.743544999356219,0.393544999356219,0.9838624983905475,0.03174179997424876,1.3016119003295898,-3.0,2.0,12,36,6,5,2,3,7,60
V5,10_3d_small_clustered_obstacles,ΔC(i) delta cost phase,18,12,0.6666666666666666,local_geometric,0.25,0.050929581789406514,3.029392915961586,0.5609986881410345,0.9642857142857143,0.17857142857142858,7,7,0.9535414467752884,0.9535414467752884,0.9395414467752884,0.2868747801086218,0.43031217016293266,0.13622020668218407,1.4011032581329346,-3.0,3.0,10,48,8,5,2,4,9,78
